Gene_name	Intron_coord	PTC_position	Exon_length
SORBS1	chr10:95346452-95351215	42	48
TCTN3	chr10:95687355-95692919	216	312
ARHGAP19	chr10:97258754-97259401	243	267
ARHGAP19	chr10:97256404-97258659	579	969
EXOSC1	chr10:97437750-97438662	45	51
EXOSC1	chr10:97444877-97445731	18.0	90.0
EXOSC1	chr10:97443311-97445452	225	396
EXOSC1	chr10:97445606-97445731	18.0	90.0
MMS19	chr10:97476919-97477346	54	84
MMS19	chr10:97478389-97480894	6	150
MMS19	chr10:97467603-97468251	33	99
PYROXD2	chr10:98388084-98388353	849	885
HPS1	chr10:98435551-98435634	165	279
HPS1	chr10:98431291-98433939	126	162
CHUK	chr10:100190968-100193388	78	99
CWF19L1	chr10:100243772-100245798	42	75
CWF19L1	chr10:100246935-100250109	39	225
CWF19L1	chr10:100253539-100260217	723	825
SEC31B	chr10:100499258-100499416	39	180
SEC31B	chr10:100500159-100502253	603	636
NDUFB8	chr10:100527074-100529365	9	141
KCNIP2	chr10:101828696-101828818	162	381
ARMH3	chr10:102029745-102032932	39	240
PSD	chr10:102405611-102407222	243	267
NT5C2	chr10:103098088-103098930	753	798
NT5C2	chr10:103100019-103100751	150	351
NT5C2	chr10:103100943-103101044	81	96
NT5C2	chr10:103097374-103098047	849	936
NT5C2	chr10:103100964-103101044	81	96
PCGF6	chr10:103347319-103347394	36	81
STN1	chr10:103898377-103898876	774	831
STN1	chr10:103897719-103898292	579	708
XPNPEP1	chr10:109882642-109883787	273	360
SMNDC1	chr10:110297745-110298647	132	180
BBIP1	chr10:110900526-110901025	441	558
ZDHHC6	chr10:112432545-112433239	150	168
ZDHHC6	chr10:112442259-112443514	18	54
HSPA12A	chr10:116683958-116692350	72	168
TIAL1	chr10:119576905-119577079	276	294
TIAL1	chr10:119580538-119581921	570	606
TIAL1	chr10:119580846-119581921	873	912
C10orf88	chr10:122948755-122951953	93	105
C10orf88	chr10:122953028-122954014	189	201
EEF1AKMT2	chr10:124774782-124789038	87	108
CTBP2	chr10:124994606-124997963	33	138
UROS	chr10:125795158-125796102	183	279
UROS	chr10:125797425-125798064	60	75
UROS	chr10:125796861-125798064	750	759
UROS	chr10:125797641-125798064	60	75
UROS	chr10:125789528-125794879	177	246
TCERG1L	chr10:131164119-131166796	855	996
STK32C	chr10:132209364-132222640	192	330
TUBGCP2	chr10:133283184-133283881	84	105
TUBGCP2	chr10:133288278-133288839	36	150
