Gene_name	Intron_coord	Exons_before	Exons_after
GBF1	chr10:102379729-102379852	33.0	5.0
GBF1	chr10:102376432-102376539	30.0	8.0
GBF1	chr10:102377128-102379290	32.0	6.0
GBF1	chr10:102367210-102367414	19.0	19.0
GBF1	chr10:102368454-102369210	0.0	1.0
GBF1	chr10:102359435-102361021	0.0	1.0
GBF1	chr10:102379954-102380162	35.0	3.0
GBF1	chr10:102380362-102380509	36.0	2.0
NFKB2	chr10:102399718-102399926	13.0	8.0
TRIM8	chr10:102645403-102654652	0.0	4.0
TRIM8	chr10:102656137-102656247	0.5	3.0
TRIM8	chr10:102656137-102656244	0.5	3.0
SFXN2	chr10:102727157-102727674	2.0	1.0
SFXN2	chr10:102726777-102726986	1.0	2.0
SFXN2	chr10:102727791-102728430	1.0	2.0
SFXN2	chr10:102729808-102732858	2.0	1.0
PDCD11	chr10:103398528-103399646	1.0	33.0
PDCD11	chr10:103399830-103400396	0.0	34.0
MXI1	chr10:110244873-110279179	1.0	3.0
MXI1	chr10:110279683-110279913	2.0	2.0
MXI1	chr10:110245818-110279179	1.0	3.0
MXI1	chr10:110279294-110279489	3.0	1.0
ACSL5	chr10:112410635-112411901	7.0	11.0
ATRNL1	chr10:115128508-115129326	3.0	4.0
ATRNL1	chr10:115127721-115128406	4.0	3.0
WDR11	chr10:120904142-120904649	24.0	4.0
TACC2	chr10:122211422-122215390	3.0	12.0
PSTK	chr10:122983514-122986299	3.0	2.0
EDRF1	chr10:125741201-125742219	16.5	7.0
EDRF1	chr10:125729479-125730271	8.0	9.0
EDRF1	chr10:125735904-125737922	12.5	7.5
EDRF1	chr10:125731925-125733403	8.0	12.5
EDRF1	chr10:125730399-125731864	9.0	8.0
FANK1	chr10:126005049-126007113	6.0	3.0
PPP2R2D	chr10:131935006-131940030	1.5	4.5
PPP2R2D	chr10:131940841-131943967	2.5	3.0
PPP2R2D	chr10:131943997-131944094	1.0	3.0
PPP2R2D	chr10:131940694-131944094	3.0	3.0
PPP2R2D	chr10:131934555-131934893	1.0	3.0
KNDC1	chr10:133207351-133209804	17.0	3.0
KNDC1	chr10:133210724-133211404	19.5	5.0
KNDC1	chr10:133211858-133212669	23.0	6.0
PAOX	chr10:133382939-133383959	2.0	3.5
PAOX	chr10:133381659-133382851	3.0	2.5
PAOX	chr10:133379670-133379998	1.0	3.0
MTG1	chr10:133399653-133401528	4.5	5.0
SCART1	chr10:133456554-133457084	2.0	9.0
PITRM1	chr10:3143970-3144291	21.0	4.0
PITRM1	chr10:3157531-3158044	11.0	14.0
PITRM1	chr10:3160001-3160203	8.0	17.0
PITRM1	chr10:3140765-3143388	23.0	2.0
KLF6	chr10:3782214-3783215	0.0	2.0
KLF6	chr10:3783281-3784912	1.0	1.5
ASB13	chr10:5642553-5648969	4.0	1.0
ITIH5	chr10:7609494-7615981	0.0	3.0
ITIH5	chr10:7600565-7609419	0.0	3.0
NUDT5	chr10:12180489-12184888	2.0	6.0
BEND7	chr10:13452658-13492610	0.0	3.0
DCLRE1C	chr10:14920444-14922980	12.0	1.0
DCLRE1C	chr10:14945565-14949035	2.0	8.0
DCLRE1C	chr10:14945189-14947524	1.0	9.0
DCLRE1C	chr10:14935523-14936537	5.0	8.0
DCLRE1C	chr10:14945565-14947524	1.0	1.0
ACBD7	chr10:15079040-15088305	0.0	3.0
TRDMT1	chr10:17169539-17174550	2.0	3.0
NSUN6	chr10:18548237-18551717	8.0	2.0
NEBL	chr10:20818834-20819423	0.0	6.0
NEBL	chr10:20815717-20817597	0.0	6.0
NEBL	chr10:20817692-20818703	0.0	6.0
ARHGAP21	chr10:24590550-24591224	22.5	1.0
ARHGAP21	chr10:24600788-24601977	11.5	11.5
ANKRD26	chr10:27044190-27046110	17.0	16.0
ANKRD26	chr10:27079161-27086538	0.0	6.0
ANKRD26	chr10:27037782-27037870	11.0	11.0
ANKRD26	chr10:27030600-27033224	12.5	8.0
ANKRD26	chr10:27080771-27082802	6.0	21.0
ANKRD26	chr10:27098326-27100084	0.0	13.5
ANKRD26	chr10:27060540-27060817	11.0	21.0
ANKRD26	chr10:27037323-27037663	21.0	12.0
ANKRD26	chr10:26982813-27006916	0.0	3.0
ANKRD26	chr10:27060881-27063987	0.0	21.0
ANKRD26	chr10:27079161-27080648	0.0	13.5
ANKRD26	chr10:27029356-27030392	0.0	11.0
ANKRD26	chr10:27093799-27098179	0.0	12.0
ACBD5	chr10:27219857-27220372	5.0	8.0
ACBD5	chr10:27220464-27223206	5.0	6.0
ARHGAP12	chr10:31807832-31808452	15.0	1.0
EPC1	chr10:32274038-32284697	10.0	3.0
ITGB1	chr10:32920385-32921570	7.0	7.0
ITGB1	chr10:32920397-32922256	8.0	6.0
ITGB1	chr10:32921702-32922256	8.0	6.0
CUL2	chr10:35045709-35049682	5.0	13.0
CUL2	chr10:35063060-35071198	1.0	8.0
CUL2	chr10:35054523-35060873	3.0	15.0
CUL2	chr10:35039097-35044565	7.0	12.0
CUL2	chr10:35060966-35062959	2.0	16.0
CUL2	chr10:35054844-35060873	3.0	15.0
CUL2	chr10:35060924-35062959	2.0	16.0
CUL2	chr10:35031659-35032434	11.0	8.0
CUL2	chr10:35039075-35044565	7.0	12.0
CUL2	chr10:35031893-35032434	11.0	8.0
CUL2	chr10:35049761-35054433	4.0	14.5
ZNF25	chr10:37953195-37953282	3.0	1.0
ZNF32	chr10:43644801-43645957	0.0	1.0
ZFAND4	chr10:45640421-45648293	3.5	4.0
FRMPD2	chr10:48175939-48177711	21.0	7.0
ERCC6	chr10:49525226-49528416	3.0	8.0
ERCC6	chr10:49475496-49476214	10.5	8.0
ASAH2	chr10:50196919-50198300	14.5	4.0
ASAH2	chr10:50198369-50199050	15.5	3.0
FAM13C	chr10:59254443-59283362	0.0	2.0
ANK3	chr10:60068869-60069977	0.0	4.5
EGR2	chr10:62814468-62815320	0.0	1.0
JMJD1C	chr10:63198727-63206594	0.0	11.0
JMJD1C	chr10:63215617-63217206	4.5	19.0
DNAJC12	chr10:67816133-67823313	2.0	3.0
DNA2	chr10:68470612-68471790	1.0	13.5
DNA2	chr10:68470163-68470488	0.0	14.5
SLC25A16	chr10:68517265-68527245	1.0	7.0
SLC25A16	chr10:68517185-68527245	1.0	7.0
TYSND1	chr10:70143972-70146532	1.0	2.0
ASCC1	chr10:72196989-72198448	0.0	8.0
ASCC1	chr10:72128167-72132233	6.0	2.5
ASCC1	chr10:72198665-72203426	3.0	5.0
ASCC1	chr10:72132341-72133056	0.0	5.0
ASCC1	chr10:72208146-72210731	0.0	8.0
MICU1	chr10:72379583-72407928	0.0	7.0
MRPS16	chr10:73252023-73252258	0.0	2.0
MRPS16	chr10:73252037-73252469	1.0	1.0
CFAP70	chr10:73323027-73331176	7.0	18.0
CFAP70	chr10:73278337-73291349	16.5	7.0
ANXA7	chr10:73376217-73377444	10.5	1.0
AGAP5	chr10:73681341-73682693	4.5	2.0
AGAP5	chr10:73680106-73681007	3.5	3.0
CAMK2G	chr10:73819617-73821681	18.5	2.0
CAMK2G	chr10:73818267-73819531	18.5	2.0
CAMK2G	chr10:73817554-73818208	17.0	3.0
DLG5	chr10:77807936-77809546	18.0	7.0
DLG5	chr10:77845437-77853353	5.0	26.0
DLG5	chr10:77805928-77806757	20.0	5.0
IDE	chr10:92469833-92470253	18.0	6.0
IDE	chr10:92468990-92469587	17.0	7.0
IDE	chr10:92462604-92463730	20.5	3.0
IDE	chr10:92461252-92462483	19.5	4.0
SORBS1	chr10:95346452-95351215	20.5	7.0
TCTN3	chr10:95687355-95692919	3.0	7.0
BLNK	chr10:96216734-96227421	5.0	8.0
ARHGAP19	chr10:97258754-97259401	1.0	4.0
ARHGAP19	chr10:97256404-97258659	4.0	7.0
EXOSC1	chr10:97437750-97438662	2.0	3.0
EXOSC1	chr10:97444877-97445731	2.0	4.0
EXOSC1	chr10:97443311-97445452	1.0	5.0
EXOSC1	chr10:97445606-97445731	0.0	4.5
MMS19	chr10:97476919-97477346	6.0	22.5
MMS19	chr10:97478389-97480894	2.0	26.5
MMS19	chr10:97467603-97468251	13.0	17.0
PYROXD2	chr10:98388084-98388353	13.0	2.0
HPS1	chr10:98435551-98435634	2.0	8.0
HPS1	chr10:98431291-98433939	4.0	12.0
CHUK	chr10:100190968-100193388	19.0	1.0
CWF19L1	chr10:100243772-100245798	9.0	4.0
CWF19L1	chr10:100246935-100250109	6.0	7.0
CWF19L1	chr10:100253539-100260217	2.0	1.0
SEC31B	chr10:100499258-100499416	10.0	14.0
SEC31B	chr10:100500159-100502253	10.0	14.0
NDUFB8	chr10:100527074-100529365	1.0	3.0
KCNIP2	chr10:101828696-101828818	1.0	6.0
ARMH3	chr10:102029745-102032932	2.0	22.0
PSD	chr10:102405611-102407222	10.0	5.0
NT5C2	chr10:103098088-103098930	8.0	8.0
NT5C2	chr10:103100019-103100751	5.0	11.0
NT5C2	chr10:103100943-103101044	6.0	10.0
NT5C2	chr10:103097374-103098047	7.0	9.0
NT5C2	chr10:103100964-103101044	6.0	10.0
PCGF6	chr10:103347319-103347394	4.0	5.0
STN1	chr10:103898377-103898876	5.0	3.0
STN1	chr10:103897719-103898292	4.0	4.0
XPNPEP1	chr10:109882642-109883787	6.0	11.0
SMNDC1	chr10:110297745-110298647	2.0	2.0
BBIP1	chr10:110900526-110901025	0.0	1.0
ZDHHC6	chr10:112432545-112433239	7.0	2.0
ZDHHC6	chr10:112439626-112440533	4.0	5.0
ZDHHC6	chr10:112438389-112439505	3.0	6.0
ZDHHC6	chr10:112442259-112443514	4.0	5.0
HSPA12A	chr10:116683958-116692350	5.0	5.0
TIAL1	chr10:119576905-119577079	10.0	1.0
TIAL1	chr10:119580538-119581921	5.0	6.0
TIAL1	chr10:119580846-119581921	5.0	6.0
C10orf88	chr10:122948755-122951953	3.0	2.0
C10orf88	chr10:122953028-122954014	1.0	4.0
OAT	chr10:124407416-124408541	2.5	5.0
OAT	chr10:124405563-124407302	1.5	6.0
EEF1AKMT2	chr10:124774782-124789038	3.0	2.0
CTBP2	chr10:124994606-124997963	4.0	4.0
UROS	chr10:125795158-125796102	2.5	1.5
UROS	chr10:125797425-125798064	1.5	2.0
UROS	chr10:125796861-125798064	2.0	2.0
UROS	chr10:125797641-125798064	1.5	2.0
UROS	chr10:125789528-125794879	7.0	1.0
TCERG1L	chr10:131164119-131166796	5.0	6.0
STK32C	chr10:132209364-132222640	9.0	1.0
TUBGCP2	chr10:133283184-133283881	13.0	3.0
TUBGCP2	chr10:133288278-133288839	9.0	7.0
TUBGCP2	chr10:133295439-133297951	4.0	12.0
