chr	start	end	strand	gene_name
chr10	246766	246999	+	ENSG00000015171.21
chr10	244471	244600	+	ENSG00000015171.21
chr10	248336	248531	+	ENSG00000015171.21
chr10	148444	148751	-	ENSG00000276662.1
chr10	147820	148227	-	ENSG00000276662.1
chr10	154831	154943	-	ENSG00000212331.1
chr10	486459	486558	-	ENSG00000151240.17
chr10	472439	472549	-	ENSG00000151240.17
chr10	440871	440996	-	ENSG00000151240.17
chr10	422824	423033	-	ENSG00000151240.17
chr10	419065	419199	-	ENSG00000151240.17
chr10	415769	415888	-	ENSG00000151240.17
chr10	413913	414110	-	ENSG00000151240.17
chr10	408926	409017	-	ENSG00000151240.17
chr10	399109	399219	-	ENSG00000151240.17
chr10	390740	390863	-	ENSG00000151240.17
chr10	390264	390373	-	ENSG00000151240.17
chr10	389991	390093	-	ENSG00000151240.17
chr10	387745	387809	-	ENSG00000151240.17
chr10	384546	384639	-	ENSG00000151240.17
chr10	384027	384146	-	ENSG00000151240.17
chr10	382647	382761	-	ENSG00000151240.17
chr10	369494	369633	-	ENSG00000151240.17
chr10	366275	366411	-	ENSG00000151240.17
chr10	364374	364582	-	ENSG00000151240.17
chr10	363197	363311	-	ENSG00000151240.17
chr10	362490	362691	-	ENSG00000151240.17
chr10	357828	357937	-	ENSG00000151240.17
chr10	356426	356506	-	ENSG00000151240.17
chr10	349331	349454	-	ENSG00000151240.17
chr10	348641	348762	-	ENSG00000151240.17
chr10	344999	345110	-	ENSG00000151240.17
chr10	344809	344918	-	ENSG00000151240.17
chr10	341199	341329	-	ENSG00000151240.17
chr10	329433	329601	-	ENSG00000151240.17
chr10	327006	327176	-	ENSG00000151240.17
chr10	310031	310092	-	ENSG00000151240.17
chr10	288364	288421	-	ENSG00000151240.17
chr10	286273	286347	-	ENSG00000151240.17
chr10	283272	283446	-	ENSG00000151240.17
chr10	281200	281323	-	ENSG00000151240.17
chr10	274190	277577	-	ENSG00000151240.17
chr10	689494	689668	-	ENSG00000151240.17
chr10	486459	486530	-	ENSG00000151240.17
chr10	274201	277577	-	ENSG00000151240.17
chr10	484781	484948	-	ENSG00000151240.17
chr10	311537	311566	-	ENSG00000151240.17
chr10	277323	277577	-	ENSG00000151240.17
chr10	329433	329526	-	ENSG00000151240.17
chr10	324639	325019	-	ENSG00000151240.17
chr10	389991	390016	-	ENSG00000151240.17
chr10	364962	365021	-	ENSG00000151240.17
chr10	282015	282125	-	ENSG00000201861.1
chr10	430239	430504	-	ENSG00000239822.3
chr10	437561	437915	+	ENSG00000233021.2
chr10	440968	441170	+	ENSG00000233021.2
chr10	628620	630270	+	ENSG00000225140.2
chr10	628633	628897	+	ENSG00000225140.2
chr10	629859	631255	+	ENSG00000225140.2
chr10	641689	641778	-	ENSG00000263511.1
chr10	649948	650178	+	ENSG00000180525.14
chr10	650291	650442	+	ENSG00000180525.14
chr10	650788	652655	+	ENSG00000180525.14
chr10	650038	650178	+	ENSG00000180525.14
chr10	651111	651429	+	ENSG00000180525.14
chr10	650077	650178	+	ENSG00000180525.14
chr10	651204	651505	+	ENSG00000180525.14
chr10	650077	650442	+	ENSG00000180525.14
chr10	662026	662118	+	ENSG00000180525.14
chr10	662791	669581	+	ENSG00000180525.14
chr10	663047	663702	+	ENSG00000180525.14
chr10	665956	666103	+	ENSG00000180525.14
chr10	666218	669563	+	ENSG00000180525.14
chr10	663558	663702	+	ENSG00000180525.14
chr10	666218	669529	+	ENSG00000180525.14
chr10	743992	744033	+	ENSG00000231601.1
chr10	744577	744958	+	ENSG00000231601.1
chr10	820800	820847	-	ENSG00000107929.16
chr10	817725	817889	-	ENSG00000107929.16
chr10	814946	815070	-	ENSG00000107929.16
chr10	814742	814850	-	ENSG00000107929.16
chr10	806933	808272	-	ENSG00000107929.16
chr10	864123	864264	-	ENSG00000107929.16
chr10	863743	863883	-	ENSG00000107929.16
chr10	844977	845055	-	ENSG00000107929.16
chr10	842932	843068	-	ENSG00000107929.16
chr10	836403	836506	-	ENSG00000107929.16
chr10	830867	830977	-	ENSG00000107929.16
chr10	829681	829734	-	ENSG00000107929.16
chr10	829385	829594	-	ENSG00000107929.16
chr10	825764	825870	-	ENSG00000107929.16
chr10	825065	825316	-	ENSG00000107929.16
chr10	820800	820845	-	ENSG00000107929.16
chr10	812921	813213	-	ENSG00000107929.16
chr10	806952	808272	-	ENSG00000107929.16
chr10	931428	931705	-	ENSG00000107929.16
chr10	885641	885760	-	ENSG00000107929.16
chr10	884447	884506	-	ENSG00000107929.16
chr10	864123	864270	-	ENSG00000107929.16
chr10	809497	813213	-	ENSG00000107929.16
chr10	825764	827283	-	ENSG00000107929.16
chr10	809549	813213	-	ENSG00000107929.16
chr10	870013	873205	-	ENSG00000107929.16
chr10	931779	931821	-	ENSG00000107929.16
chr10	817725	820930	-	ENSG00000107929.16
chr10	811806	813213	-	ENSG00000107929.16
chr10	825764	825843	-	ENSG00000107929.16
chr10	811822	813256	-	ENSG00000107929.16
chr10	825065	825244	-	ENSG00000107929.16
chr10	814637	814850	-	ENSG00000107929.16
chr10	812506	813213	-	ENSG00000107929.16
chr10	814946	815715	-	ENSG00000107929.16
chr10	814018	814850	-	ENSG00000107929.16
chr10	817725	817846	-	ENSG00000107929.16
chr10	814442	814850	-	ENSG00000107929.16
chr10	931428	931500	-	ENSG00000107929.16
chr10	870013	870083	-	ENSG00000107929.16
chr10	931428	931624	-	ENSG00000107929.16
chr10	924383	924433	-	ENSG00000107929.16
chr10	863779	863883	-	ENSG00000107929.16
chr10	931428	931476	-	ENSG00000107929.16
chr10	870009	870083	-	ENSG00000107929.16
chr10	864154	864270	-	ENSG00000107929.16
chr10	903430	903515	-	ENSG00000107929.16
chr10	903208	903343	-	ENSG00000107929.16
chr10	864241	864270	-	ENSG00000107929.16
chr10	889442	889834	-	ENSG00000107929.16
chr10	864270	864270	-	ENSG00000107929.16
chr10	933026	933115	+	ENSG00000229869.1
chr10	942187	942239	+	ENSG00000229869.1
chr10	942480	942743	+	ENSG00000229869.1
chr10	988304	988341	-	ENSG00000205740.2
chr10	971146	972993	-	ENSG00000205740.2
chr10	985226	988329	-	ENSG00000205740.2
chr10	988434	988527	+	ENSG00000107937.19
chr10	992489	992659	+	ENSG00000107937.19
chr10	995929	996032	+	ENSG00000107937.19
chr10	996106	996242	+	ENSG00000107937.19
chr10	997208	997308	+	ENSG00000107937.19
chr10	999003	999095	+	ENSG00000107937.19
chr10	1000677	1000868	+	ENSG00000107937.19
chr10	1000948	1001013	+	ENSG00000107937.19
chr10	1005818	1005907	+	ENSG00000107937.19
chr10	1007018	1007128	+	ENSG00000107937.19
chr10	1008958	1009035	+	ENSG00000107937.19
chr10	1009529	1009580	+	ENSG00000107937.19
chr10	1010420	1010520	+	ENSG00000107937.19
chr10	1012465	1012662	+	ENSG00000107937.19
chr10	1014247	1014312	+	ENSG00000107937.19
chr10	1015753	1015896	+	ENSG00000107937.19
chr10	1017075	1019932	+	ENSG00000107937.19
chr10	988462	988527	+	ENSG00000107937.19
chr10	996106	997308	+	ENSG00000107937.19
chr10	1010420	1010517	+	ENSG00000107937.19
chr10	988706	988948	+	ENSG00000107937.19
chr10	1005838	1005907	+	ENSG00000107937.19
chr10	1007018	1007320	+	ENSG00000107937.19
chr10	1012400	1012662	+	ENSG00000107937.19
chr10	1017075	1017197	+	ENSG00000107937.19
chr10	1025816	1025859	-	ENSG00000148377.6
chr10	1024582	1024744	-	ENSG00000148377.6
chr10	1022683	1022775	-	ENSG00000148377.6
chr10	1020767	1020897	-	ENSG00000148377.6
chr10	1018910	1019834	-	ENSG00000148377.6
chr10	1022618	1022783	+	ENSG00000232656.10
chr10	1035814	1035976	+	ENSG00000232656.10
chr10	1036789	1036893	+	ENSG00000232656.10
chr10	1043529	1044208	+	ENSG00000232656.10
chr10	1022637	1022783	+	ENSG00000232656.10
chr10	1043529	1045425	+	ENSG00000232656.10
chr10	1022641	1022783	+	ENSG00000232656.10
chr10	1034837	1035046	+	ENSG00000232656.10
chr10	1022666	1022783	+	ENSG00000232656.10
chr10	1035814	1036893	+	ENSG00000232656.10
chr10	1043529	1044165	+	ENSG00000232656.10
chr10	1022668	1022783	+	ENSG00000232656.10
chr10	1035290	1035422	+	ENSG00000232656.10
chr10	1043529	1043683	+	ENSG00000232656.10
chr10	1022674	1022783	+	ENSG00000232656.10
chr10	1035290	1035506	+	ENSG00000232656.10
chr10	1035814	1035921	+	ENSG00000232656.10
chr10	1036271	1036569	+	ENSG00000232656.10
chr10	1043529	1044168	+	ENSG00000232656.10
chr10	1048264	1048883	-	ENSG00000067064.13
chr10	1043999	1044171	-	ENSG00000067064.13
chr10	1043301	1043393	-	ENSG00000067064.13
chr10	1042632	1042762	-	ENSG00000067064.13
chr10	1039152	1041504	-	ENSG00000067064.13
chr10	1048864	1048886	-	ENSG00000067064.13
chr10	1039419	1041504	-	ENSG00000067064.13
chr10	1048864	1049119	-	ENSG00000067064.13
chr10	1048864	1049103	-	ENSG00000067064.13
chr10	1040903	1041504	-	ENSG00000067064.13
chr10	1048264	1048397	-	ENSG00000067064.13
chr10	1042549	1042762	-	ENSG00000067064.13
chr10	1048864	1048935	-	ENSG00000067064.13
chr10	1043301	1044171	-	ENSG00000067064.13
chr10	1042677	1042762	-	ENSG00000067064.13
chr10	1049538	1049641	+	ENSG00000047056.18
chr10	1072116	1072293	+	ENSG00000047056.18
chr10	1077907	1078003	+	ENSG00000047056.18
chr10	1080011	1080106	+	ENSG00000047056.18
chr10	1080412	1080476	+	ENSG00000047056.18
chr10	1084403	1084538	+	ENSG00000047056.18
chr10	1086286	1086357	+	ENSG00000047056.18
chr10	1093452	1093496	+	ENSG00000047056.18
chr10	1096170	1096246	+	ENSG00000047056.18
chr10	1103602	1103836	+	ENSG00000047056.18
chr10	1105126	1105267	+	ENSG00000047056.18
chr10	1124218	1124352	+	ENSG00000047056.18
chr10	1124910	1125024	+	ENSG00000047056.18
chr10	1129213	1132297	+	ENSG00000047056.18
chr10	1056385	1056968	+	ENSG00000047056.18
chr10	1072136	1072293	+	ENSG00000047056.18
chr10	1079556	1079677	+	ENSG00000047056.18
chr10	1129213	1131666	+	ENSG00000047056.18
chr10	1129213	1132372	+	ENSG00000047056.18
chr10	1056404	1056564	+	ENSG00000047056.18
chr10	1096170	1096626	+	ENSG00000047056.18
chr10	1056822	1056879	+	ENSG00000047056.18
chr10	1073886	1074166	+	ENSG00000047056.18
chr10	1129213	1132152	+	ENSG00000047056.18
chr10	1056835	1056968	+	ENSG00000047056.18
chr10	1079556	1080476	+	ENSG00000047056.18
chr10	1105126	1105241	+	ENSG00000047056.18
chr10	1129213	1132451	+	ENSG00000047056.18
chr10	1056847	1056968	+	ENSG00000047056.18
chr10	1103599	1103836	+	ENSG00000047056.18
chr10	1129213	1132148	+	ENSG00000047056.18
chr10	1102458	1102577	+	ENSG00000047056.18
chr10	1102856	1102978	+	ENSG00000047056.18
chr10	1129213	1132384	+	ENSG00000047056.18
chr10	1056849	1056968	+	ENSG00000047056.18
chr10	1124910	1125073	+	ENSG00000047056.18
chr10	1129213	1132045	+	ENSG00000047056.18
chr10	1056883	1056968	+	ENSG00000047056.18
chr10	1123983	1124102	+	ENSG00000047056.18
chr10	1129213	1132084	+	ENSG00000047056.18
chr10	1072286	1072293	+	ENSG00000047056.18
chr10	1160553	1160991	+	ENSG00000047056.18
chr10	1074383	1074508	+	ENSG00000047056.18
chr10	1129213	1129511	+	ENSG00000047056.18
chr10	1074417	1074508	+	ENSG00000047056.18
chr10	1077936	1078003	+	ENSG00000047056.18
chr10	1102691	1102822	+	ENSG00000047056.18
chr10	1123807	1124102	+	ENSG00000047056.18
chr10	1129213	1129252	+	ENSG00000047056.18
chr10	1159768	1159990	+	ENSG00000229205.5
chr10	1160553	1160637	+	ENSG00000229205.5
chr10	1162547	1165112	+	ENSG00000229205.5
chr10	1159804	1159990	+	ENSG00000229205.5
chr10	1160553	1160997	+	ENSG00000229205.5
chr10	1159811	1159990	+	ENSG00000229205.5
chr10	1162547	1162615	+	ENSG00000229205.5
chr10	1180677	1180923	+	ENSG00000229205.5
chr10	1159812	1159990	+	ENSG00000229205.5
chr10	1162547	1163071	+	ENSG00000229205.5
chr10	1163215	1164789	+	ENSG00000229205.5
chr10	1288473	1289426	+	ENSG00000229205.5
chr10	1159833	1159990	+	ENSG00000229205.5
chr10	1201595	1202982	+	ENSG00000229205.5
chr10	1737051	1737525	-	ENSG00000185736.16
chr10	1379074	1379160	-	ENSG00000185736.16
chr10	1363028	1363917	-	ENSG00000185736.16
chr10	1270955	1271069	-	ENSG00000185736.16
chr10	1242131	1242299	-	ENSG00000185736.16
chr10	1233694	1233845	-	ENSG00000185736.16
chr10	1216951	1217119	-	ENSG00000185736.16
chr10	1199966	1200147	-	ENSG00000185736.16
chr10	1184861	1185039	-	ENSG00000185736.16
chr10	1177313	1183369	-	ENSG00000185736.16
chr10	1199966	1200360	-	ENSG00000185736.16
chr10	1182134	1183369	-	ENSG00000185736.16
chr10	1186503	1186566	-	ENSG00000185736.16
chr10	1182845	1183369	-	ENSG00000185736.16
chr10	1188154	1188246	-	ENSG00000185736.16
chr10	1183043	1183369	-	ENSG00000185736.16
chr10	1200263	1200385	-	ENSG00000185736.16
chr10	1183151	1183369	-	ENSG00000185736.16
chr10	1199966	1200371	-	ENSG00000185736.16
chr10	1199446	1199722	-	ENSG00000185736.16
chr10	1240386	1240530	-	ENSG00000185736.16
chr10	1215676	1217119	-	ENSG00000185736.16
chr10	1208066	1208389	-	ENSG00000287043.1
chr10	1201406	1202036	-	ENSG00000287043.1
chr10	1290018	1293002	-	ENSG00000282390.1
chr10	1361420	1361637	-	ENSG00000233052.1
chr10	1361001	1361141	-	ENSG00000233052.1
chr10	1526637	1526899	+	ENSG00000205696.5
chr10	1556611	1556984	+	ENSG00000205696.5
chr10	1526763	1526899	+	ENSG00000205696.5
chr10	1534590	1534995	+	ENSG00000205696.5
chr10	1535592	1535673	+	ENSG00000205696.5
chr10	1552748	1552852	+	ENSG00000205696.5
chr10	1556611	1556988	+	ENSG00000205696.5
chr10	1957589	1957820	+	ENSG00000287653.1
chr10	1959439	1960190	+	ENSG00000287653.1
chr10	2014135	2014192	-	ENSG00000234962.6
chr10	2013247	2013458	-	ENSG00000234962.6
chr10	1997871	1997954	-	ENSG00000234962.6
chr10	1989076	1990750	-	ENSG00000234962.6
chr10	2014135	2014358	-	ENSG00000234962.6
chr10	1990216	1990750	-	ENSG00000234962.6
chr10	2014135	2015005	-	ENSG00000234962.6
chr10	2005465	2007143	-	ENSG00000234962.6
chr10	2014135	2014357	-	ENSG00000234962.6
chr10	2013297	2013491	-	ENSG00000234962.6
chr10	2006491	2006737	-	ENSG00000234962.6
chr10	2005472	2005620	-	ENSG00000234962.6
chr10	2013297	2013458	-	ENSG00000234962.6
chr10	2006539	2006737	-	ENSG00000234962.6
chr10	2014135	2014348	-	ENSG00000234962.6
chr10	2013247	2013505	-	ENSG00000234962.6
chr10	2012265	2012568	-	ENSG00000234962.6
chr10	2014135	2014398	-	ENSG00000234962.6
chr10	2012645	2012971	-	ENSG00000234962.6
chr10	2014135	2014351	-	ENSG00000234962.6
chr10	2012659	2013065	-	ENSG00000234962.6
chr10	2014135	2014411	-	ENSG00000234962.6
chr10	2013247	2013491	-	ENSG00000234962.6
chr10	2012659	2012971	-	ENSG00000234962.6
chr10	2012661	2013065	-	ENSG00000234962.6
chr10	2059285	2059444	-	ENSG00000289427.1
chr10	2042643	2043512	-	ENSG00000289427.1
chr10	2059285	2059483	-	ENSG00000289427.1
chr10	2059008	2059165	-	ENSG00000289427.1
chr10	2071845	2071975	+	ENSG00000226694.2
chr10	2080797	2081097	+	ENSG00000226694.2
chr10	2076019	2076089	-	ENSG00000278069.1
chr10	2098167	2098269	+	ENSG00000252998.1
chr10	2150480	2150550	+	ENSG00000227912.2
chr10	2150965	2151002	+	ENSG00000227912.2
chr10	2164920	2164992	+	ENSG00000227912.2
chr10	2167214	2169423	+	ENSG00000227912.2
chr10	2166332	2166405	+	ENSG00000227912.2
chr10	2167214	2169460	+	ENSG00000227912.2
chr10	2189462	2189474	-	ENSG00000231326.7
chr10	2187657	2187932	-	ENSG00000231326.7
chr10	2176343	2176432	-	ENSG00000231326.7
chr10	2172740	2172834	-	ENSG00000231326.7
chr10	2169140	2169252	-	ENSG00000231326.7
chr10	2189462	2189512	-	ENSG00000231326.7
chr10	2199387	2199488	+	ENSG00000212156.1
chr10	2315030	2315075	-	ENSG00000234556.1
chr10	2306268	2306309	-	ENSG00000234556.1
chr10	2305083	2305736	-	ENSG00000234556.1
chr10	2501873	2502172	-	ENSG00000234170.6
chr10	2368561	2368701	-	ENSG00000234170.6
chr10	2423590	2423624	-	ENSG00000234170.6
chr10	2421990	2422861	-	ENSG00000234170.6
chr10	2501873	2502177	-	ENSG00000234170.6
chr10	2438831	2440287	-	ENSG00000234170.6
chr10	2501873	2501916	-	ENSG00000234170.6
chr10	2501558	2501809	-	ENSG00000234170.6
chr10	2446244	2447350	-	ENSG00000234170.6
chr10	2454983	2455121	-	ENSG00000234170.6
chr10	2446252	2447350	-	ENSG00000234170.6
chr10	2501810	2501841	-	ENSG00000234170.6
chr10	2501558	2501683	-	ENSG00000234170.6
chr10	2447295	2447350	-	ENSG00000234170.6
chr10	2446253	2446950	-	ENSG00000234170.6
chr10	2501873	2502200	-	ENSG00000234170.6
chr10	2447287	2447350	-	ENSG00000234170.6
chr10	2501558	2501769	-	ENSG00000234170.6
chr10	2446256	2446950	-	ENSG00000234170.6
chr10	2501873	2501918	-	ENSG00000234170.6
chr10	2501747	2501809	-	ENSG00000234170.6
chr10	2501495	2501557	-	ENSG00000234170.6
chr10	2501873	2502185	-	ENSG00000234170.6
chr10	2485697	2485828	-	ENSG00000234170.6
chr10	2446258	2446913	-	ENSG00000234170.6
chr10	2446462	2447350	-	ENSG00000234170.6
chr10	2451204	2451331	-	ENSG00000234170.6
chr10	2446637	2446950	-	ENSG00000234170.6
chr10	2501747	2501818	-	ENSG00000234170.6
chr10	2501306	2501368	-	ENSG00000234170.6
chr10	2499755	2500541	-	ENSG00000234170.6
chr10	2499721	2499808	+	ENSG00000237500.1
chr10	2500327	2500570	+	ENSG00000237500.1
chr10	2501600	2501989	+	ENSG00000235281.2
chr10	2559891	2560007	+	ENSG00000235281.2
chr10	2566529	2567537	+	ENSG00000235281.2
chr10	2501626	2501989	+	ENSG00000235281.2
chr10	2566529	2566620	+	ENSG00000235281.2
chr10	2570196	2571055	+	ENSG00000235281.2
chr10	2501783	2501989	+	ENSG00000235281.2
chr10	2566529	2567239	+	ENSG00000235281.2
chr10	2501803	2501989	+	ENSG00000235281.2
chr10	2537493	2537625	+	ENSG00000235281.2
chr10	2501876	2501989	+	ENSG00000235281.2
chr10	2615489	2615646	+	ENSG00000235281.2
chr10	2617682	2618739	+	ENSG00000235281.2
chr10	2501899	2501989	+	ENSG00000235281.2
chr10	2559335	2559407	+	ENSG00000235281.2
chr10	2615489	2615653	+	ENSG00000235281.2
chr10	2501940	2501989	+	ENSG00000235281.2
chr10	2537493	2538170	+	ENSG00000235281.2
chr10	2728133	2728267	-	ENSG00000286858.1
chr10	2724819	2726657	-	ENSG00000286858.1
chr10	2936021	2936441	+	ENSG00000231743.1
chr10	3009976	3010729	+	ENSG00000234182.2
chr10	3011590	3011705	+	ENSG00000234182.2
chr10	3012819	3013111	+	ENSG00000234182.2
chr10	3046820	3047083	-	ENSG00000287560.1
chr10	3042535	3043734	-	ENSG00000287560.1
chr10	3052103	3052317	+	ENSG00000289597.1
chr10	3052508	3052619	+	ENSG00000289597.1
chr10	3065424	3066001	-	ENSG00000273001.1
chr10	3066333	3066422	+	ENSG00000067057.19
chr10	3082388	3082461	+	ENSG00000067057.19
chr10	3099275	3099352	+	ENSG00000067057.19
chr10	3101365	3101554	+	ENSG00000067057.19
chr10	3067502	3067707	+	ENSG00000067057.19
chr10	3103779	3103944	+	ENSG00000067057.19
chr10	3105115	3105159	+	ENSG00000067057.19
chr10	3105393	3105501	+	ENSG00000067057.19
chr10	3107214	3107309	+	ENSG00000067057.19
chr10	3108701	3108793	+	ENSG00000067057.19
chr10	3109355	3109480	+	ENSG00000067057.19
chr10	3112222	3112286	+	ENSG00000067057.19
chr10	3113119	3113188	+	ENSG00000067057.19
chr10	3113372	3113518	+	ENSG00000067057.19
chr10	3116776	3116846	+	ENSG00000067057.19
chr10	3118782	3118869	+	ENSG00000067057.19
chr10	3119892	3120044	+	ENSG00000067057.19
chr10	3125097	3125249	+	ENSG00000067057.19
chr10	3129819	3129983	+	ENSG00000067057.19
chr10	3132380	3132441	+	ENSG00000067057.19
chr10	3133203	3133314	+	ENSG00000067057.19
chr10	3134483	3134582	+	ENSG00000067057.19
chr10	3135736	3135838	+	ENSG00000067057.19
chr10	3136450	3136796	+	ENSG00000067057.19
chr10	3067548	3067707	+	ENSG00000067057.19
chr10	3136450	3136802	+	ENSG00000067057.19
chr10	3067672	3067707	+	ENSG00000067057.19
chr10	3069274	3069380	+	ENSG00000067057.19
chr10	3068486	3068648	+	ENSG00000067057.19
chr10	3069274	3069389	+	ENSG00000067057.19
chr10	3136450	3136798	+	ENSG00000067057.19
chr10	3068503	3068648	+	ENSG00000067057.19
chr10	3082742	3084466	+	ENSG00000067057.19
chr10	3109355	3109609	+	ENSG00000067057.19
chr10	3068627	3068742	+	ENSG00000067057.19
chr10	3100921	3101000	+	ENSG00000067057.19
chr10	3136450	3136793	+	ENSG00000067057.19
chr10	3068741	3068921	+	ENSG00000067057.19
chr10	3069233	3069389	+	ENSG00000067057.19
chr10	3103779	3103937	+	ENSG00000067057.19
chr10	3070245	3070315	+	ENSG00000067057.19
chr10	3105393	3105473	+	ENSG00000067057.19
chr10	3104724	3105159	+	ENSG00000067057.19
chr10	3136450	3137718	+	ENSG00000067057.19
chr10	3104747	3104788	+	ENSG00000067057.19
chr10	3109355	3109394	+	ENSG00000067057.19
chr10	3104879	3105301	+	ENSG00000067057.19
chr10	3107214	3107233	+	ENSG00000067057.19
chr10	3113458	3113518	+	ENSG00000067057.19
chr10	3129819	3129941	+	ENSG00000067057.19
chr10	3129007	3129983	+	ENSG00000067057.19
chr10	3133235	3133314	+	ENSG00000067057.19
chr10	3137543	3137715	+	ENSG00000067057.19
chr10	3134566	3134582	+	ENSG00000278419.1
chr10	3135736	3135838	+	ENSG00000278419.1
chr10	3143856	3143986	+	ENSG00000278419.1
chr10	3144971	3145166	+	ENSG00000278419.1
chr10	3141457	3141577	-	ENSG00000107959.17
chr10	3140687	3140812	-	ENSG00000107959.17
chr10	3138904	3139049	-	ENSG00000107959.17
chr10	3138235	3138337	-	ENSG00000107959.17
chr10	3137728	3138124	-	ENSG00000107959.17
chr10	3141520	3141580	-	ENSG00000107959.17
chr10	3142517	3142869	-	ENSG00000107959.17
chr10	3137728	3139049	-	ENSG00000107959.17
chr10	3147572	3149399	-	ENSG00000107959.17
chr10	3147150	3147250	-	ENSG00000107959.17
chr10	3145596	3145716	-	ENSG00000107959.17
chr10	3144292	3144366	-	ENSG00000107959.17
chr10	3143389	3143731	-	ENSG00000107959.17
chr10	3149621	3149710	-	ENSG00000107959.17
chr10	3148171	3148291	-	ENSG00000107959.17
